component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
106,11,25,True,4,4,5,2,0.825,40,exact_parallel,0.0181
107,11,14,True,3,3,4,3,0.8333333333333334,30,exact_parallel,0.0167
108,11,17,True,4,4,5,3,1.0975609756097562,41,exact_parallel,0.0165
109,11,11,True,2,2,3,2,0.5652173913043478,23,exact_parallel,0.0205
110,11,15,True,3,3,4,2,0.7241379310344828,29,exact_parallel,0.0166
111,10,17,True,3,3,4,2,1.0263157894736843,38,exact_parallel,0.0165
112,10,27,True,7,7,8,3,1.0980392156862746,51,exact_parallel,0.0187
113,10,12,True,4,4,5,3,1.0,30,exact_parallel,0.0135
114,10,17,True,5,5,6,3,1.225,40,exact_parallel,0.0148
115,10,23,True,5,5,6,2,0.925,40,exact_parallel,0.0148
116,10,10,True,2,2,3,2,0.8461538461538461,26,exact_parallel,0.018
117,10,12,True,2,2,3,1,0.5454545454545454,22,exact_parallel,0.0188
118,10,14,True,3,3,4,2,0.7407407407407407,27,exact_parallel,0.0189
119,10,19,True,7,7,8,3,1.297872340425532,47,exact_parallel,0.0205
120,10,19,True,4,4,5,2,0.8857142857142857,35,exact_parallel,0.0204
121,10,25,True,5,5,6,2,0.875,40,exact_parallel,0.0148
122,10,9,True,1,1,2,1,0.47368421052631576,19,exact_parallel,0.0136
123,10,18,True,4,4,5,2,0.7741935483870968,31,exact_parallel,0.0162
124,9,20,True,4,4,5,2,0.8125,32,exact_parallel,0.0145
125,9,10,True,3,3,4,3,0.875,24,exact_parallel,0.0163
126,9,30,True,6,6,7,2,0.8837209302325582,43,exact_parallel,0.0147
127,9,10,True,3,3,4,2,0.88,25,exact_parallel,0.0181
128,9,15,True,4,4,5,2,0.9354838709677419,31,exact_parallel,0.0128
129,9,12,True,3,3,4,2,0.8,25,exact_parallel,0.0141
