component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
169,7,9,True,5,5,6,4,1.3076923076923077,26,exact_parallel,0.012
170,7,13,True,4,4,5,2,0.7727272727272727,22,exact_parallel,0.012
171,7,7,True,2,2,3,1,0.5,14,exact_parallel,0.0118
172,7,10,True,3,3,4,2,0.8,20,exact_parallel,0.0116
173,7,7,True,2,2,3,2,0.8333333333333334,18,exact_parallel,0.0118
174,7,7,True,2,2,3,2,0.7647058823529411,17,exact_parallel,0.0119
175,7,7,True,2,2,3,1,0.5,14,exact_parallel,0.0116
176,7,15,True,5,5,6,2,0.9259259259259259,27,exact_parallel,0.0118
177,7,6,True,1,1,2,1,0.46153846153846156,13,exact_parallel,0.0118
178,7,10,True,4,4,5,2,0.9565217391304348,23,exact_parallel,0.0118
179,7,9,True,3,3,4,2,0.6470588235294118,17,exact_parallel,0.0121
180,7,6,True,2,2,3,2,0.6666666666666666,15,exact_parallel,0.0116
181,7,13,True,3,3,4,1,0.65,20,exact_parallel,0.012
182,7,6,True,2,2,3,2,0.75,16,exact_parallel,0.0119
183,7,8,True,3,3,4,2,0.7058823529411765,17,exact_parallel,0.0115
184,7,16,True,4,4,5,2,0.8,25,exact_parallel,0.012
185,7,7,True,2,2,3,2,0.6,15,exact_parallel,0.0119
186,7,6,True,2,2,3,2,0.5714285714285714,14,exact_parallel,0.0119
187,7,8,True,3,3,4,3,0.95,20,exact_parallel,0.0118
188,7,6,True,2,2,3,2,0.75,16,exact_parallel,0.0118
189,7,6,True,2,2,3,2,0.6666666666666666,15,exact_parallel,0.0116
190,7,6,True,1,1,2,1,0.46153846153846156,13,exact_parallel,0.0115
191,7,7,True,2,2,3,2,0.7647058823529411,17,exact_parallel,0.0115
192,7,6,True,1,1,2,1,0.46153846153846156,13,exact_parallel,0.0116
193,7,7,True,2,2,3,2,0.7647058823529411,17,exact_parallel,0.0115
194,7,6,True,2,2,3,2,0.5714285714285714,14,exact_parallel,0.0116
195,7,6,True,1,1,2,1,0.46153846153846156,13,exact_parallel,0.0116
196,7,7,True,2,2,3,2,0.6,15,exact_parallel,0.0116
197,6,10,True,3,3,4,2,0.7058823529411765,17,exact_parallel,0.0119
198,6,7,True,2,2,3,2,0.6428571428571429,14,exact_parallel,0.0114
199,6,7,True,3,3,4,2,0.8125,16,exact_parallel,0.0118
200,6,7,True,3,3,4,2,0.6428571428571429,14,exact_parallel,0.0118
201,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.0115
202,6,8,True,2,2,3,2,0.75,16,exact_parallel,0.0115
203,6,10,True,4,4,5,2,0.9,20,exact_parallel,0.0116
204,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.0115
205,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.0116
206,6,6,True,3,3,4,3,0.9375,16,exact_parallel,0.0119
207,6,8,True,4,4,5,2,0.8235294117647058,17,exact_parallel,0.0116
208,6,6,True,2,2,3,2,0.8,15,exact_parallel,0.0115
209,6,8,False,,2,4,2,0.6666666666666666,15,exact_parallel,0.0117
210,6,6,True,2,2,3,2,0.6153846153846154,13,exact_parallel,0.0116
211,6,10,True,4,4,5,3,0.8947368421052632,19,exact_parallel,0.0116
212,6,12,False,,3,5,2,0.8571428571428571,21,exact_parallel,0.0118
213,6,6,True,3,3,4,3,1.0,17,exact_parallel,0.0115
214,6,11,True,3,3,4,1,0.6470588235294118,17,exact_parallel,0.0115
215,6,13,True,5,5,6,2,0.8095238095238095,21,exact_parallel,0.0122
216,6,5,True,1,1,2,1,0.45454545454545453,11,exact_parallel,0.0119
217,6,7,True,2,2,3,2,0.6428571428571429,14,exact_parallel,0.0123
218,6,6,True,2,2,3,2,0.6153846153846154,13,exact_parallel,0.012
219,6,9,True,3,3,4,2,0.8333333333333334,18,exact_parallel,0.0119
220,6,5,True,1,1,2,1,0.45454545454545453,11,exact_parallel,0.0119
221,6,7,True,3,3,4,2,0.8823529411764706,17,exact_parallel,0.0116
222,6,6,True,2,2,3,2,0.9411764705882353,17,exact_parallel,0.0115
223,6,5,True,2,2,3,2,0.6923076923076923,13,exact_parallel,0.0116
224,6,5,True,2,2,3,2,0.6923076923076923,13,exact_parallel,0.0118
225,6,9,False,,3,5,2,0.8333333333333334,18,exact_parallel,0.0114
226,6,9,True,3,3,4,1,0.6,15,exact_parallel,0.0115
227,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.0122
228,6,11,True,3,3,4,1,0.6470588235294118,17,exact_parallel,0.0119
229,6,5,True,2,2,3,2,0.7857142857142857,14,exact_parallel,0.0117
230,6,5,True,1,1,2,1,0.45454545454545453,11,exact_parallel,0.0117
231,6,9,False,,2,4,2,0.8947368421052632,19,exact_parallel,0.0114
232,6,7,True,3,3,4,2,0.6428571428571429,14,exact_parallel,0.0115
233,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.0117
234,6,10,True,3,3,4,2,0.7058823529411765,17,exact_parallel,0.0116
235,6,11,True,5,5,6,2,0.9047619047619048,21,exact_parallel,0.0116
236,6,8,True,3,3,4,1,0.5714285714285714,14,exact_parallel,0.012
237,6,7,True,2,2,3,2,0.6428571428571429,14,exact_parallel,0.0119
238,6,6,True,3,3,4,2,0.8,15,exact_parallel,0.0115
239,6,8,True,3,3,4,2,0.75,16,exact_parallel,0.0116
240,6,9,True,4,4,5,2,0.95,20,exact_parallel,0.0116
241,6,6,True,2,2,3,2,0.8,15,exact_parallel,0.0115
242,6,7,True,3,3,4,3,0.875,16,exact_parallel,0.0119
243,6,7,True,2,2,3,1,0.5384615384615384,13,exact_parallel,0.0116
244,6,6,True,2,2,3,1,0.5,12,exact_parallel,0.0118
245,6,10,True,4,4,5,2,0.9,20,exact_parallel,0.0117
246,6,6,True,3,3,4,3,1.0,17,exact_parallel,0.0115
247,6,6,True,3,3,4,3,0.8666666666666667,15,exact_parallel,0.0119
248,6,7,True,2,2,3,2,0.6428571428571429,14,exact_parallel,0.0121
249,6,9,True,3,3,4,2,0.6875,16,exact_parallel,0.0117
250,6,9,True,3,3,4,2,0.6875,16,exact_parallel,0.012
251,6,6,True,2,2,3,2,0.7142857142857143,14,exact_parallel,0.0115
252,6,6,True,2,2,3,2,0.7142857142857143,14,exact_parallel,0.0115
253,6,7,True,3,3,4,2,0.7333333333333333,15,exact_parallel,0.0114
254,6,9,True,2,2,3,1,0.6,15,exact_parallel,0.0123
255,6,9,False,,2,5,3,1.1363636363636365,22,exact_parallel,0.0117
256,6,5,True,3,3,4,3,1.0625,16,exact_parallel,0.0116
257,6,5,True,3,3,4,3,0.9333333333333333,15,exact_parallel,0.0115
258,5,5,True,1,1,2,1,0.5,10,exact_parallel,0.0114
259,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0116
260,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0115
261,5,6,True,2,2,3,2,0.6666666666666666,12,exact_parallel,0.0116
262,5,7,True,2,2,3,1,0.5833333333333334,12,exact_parallel,0.0117
263,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0115
264,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0114
265,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0114
266,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0113
267,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0122
268,5,6,True,3,3,4,2,0.7692307692307693,13,exact_parallel,0.0113
269,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0115
270,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0114
271,5,7,True,4,4,5,2,0.8666666666666667,15,exact_parallel,0.0117
272,5,4,True,3,3,4,3,0.9166666666666666,12,exact_parallel,0.0115
273,5,5,True,3,3,4,2,0.75,12,exact_parallel,0.0116
274,5,6,True,3,3,4,2,0.6666666666666666,12,exact_parallel,0.0115
275,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0115
276,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0117
277,5,7,True,2,2,3,1,0.5833333333333334,12,exact_parallel,0.0116
278,5,5,True,3,3,4,3,1.0,14,exact_parallel,0.0115
279,5,5,True,1,1,2,1,0.5,10,exact_parallel,0.0115
280,5,6,False,,1,3,1,0.5454545454545454,11,exact_parallel,0.0115
281,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0117
282,5,6,True,3,3,4,2,0.7692307692307693,13,exact_parallel,0.0117
283,5,8,True,3,3,4,1,0.6153846153846154,13,exact_parallel,0.0122
284,5,5,True,1,1,2,1,0.5,10,exact_parallel,0.0115
285,5,4,True,3,3,4,3,1.0,13,exact_parallel,0.012
286,5,7,True,3,3,4,2,0.6923076923076923,13,exact_parallel,0.0116
287,5,6,True,2,2,3,2,0.6666666666666666,12,exact_parallel,0.0116
288,5,8,True,3,3,4,1,0.6153846153846154,13,exact_parallel,0.0117
289,5,6,True,3,3,4,2,0.6666666666666666,12,exact_parallel,0.0114
290,5,7,False,,1,3,2,0.6923076923076923,13,exact_parallel,0.0115
291,5,6,False,,1,3,1,0.5454545454545454,11,exact_parallel,0.0115
292,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0114
293,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0114
294,5,7,True,3,3,4,2,0.6923076923076923,13,exact_parallel,0.0114
295,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0116
296,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0116
297,5,5,True,2,2,3,2,0.75,12,exact_parallel,0.0117
298,5,9,False,,3,5,2,0.8125,16,exact_parallel,0.0113
299,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0114
300,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0115
301,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0116
302,5,5,True,3,3,4,2,0.75,12,exact_parallel,0.0123
303,5,6,True,4,4,5,3,1.0,15,exact_parallel,0.012
304,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0114
305,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0118
306,5,7,True,3,3,4,1,0.5833333333333334,12,exact_parallel,0.0115
307,5,6,True,2,2,3,2,0.6666666666666666,12,exact_parallel,0.0114
308,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0114
309,5,7,True,3,3,4,2,0.6923076923076923,13,exact_parallel,0.0132
310,5,4,True,2,2,3,2,0.7272727272727273,11,exact_parallel,0.0114
311,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0115
312,5,5,True,3,3,4,3,1.0,14,exact_parallel,0.0115
313,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0121
314,5,5,True,3,3,4,2,0.8461538461538461,13,exact_parallel,0.0115
315,5,5,True,3,3,4,3,0.9230769230769231,13,exact_parallel,0.0114
316,5,7,True,3,3,4,1,0.5833333333333334,12,exact_parallel,0.0118
317,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0118
318,5,8,False,,2,4,1,0.6153846153846154,13,exact_parallel,0.0115
319,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0114
320,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.012
321,5,7,True,3,3,4,2,0.6923076923076923,13,exact_parallel,0.0116
322,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0116
323,5,5,False,,1,3,2,0.6363636363636364,11,exact_parallel,0.0114
324,5,4,True,2,2,3,2,0.7272727272727273,11,exact_parallel,0.0126
325,5,6,True,3,3,4,2,0.6666666666666666,12,exact_parallel,0.0115
326,5,5,False,,2,4,3,1.0,14,exact_parallel,0.0114
327,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0115
328,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0117
329,5,6,True,3,3,4,2,0.7692307692307693,13,exact_parallel,0.0116
330,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0115
331,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0113
332,5,5,True,3,3,4,2,0.75,12,exact_parallel,0.0114
