u,v,shared_hyperedges,score_debias,jaccard,topic,near_dup,l4_category,temporal,year_u,year_v,year_gap
doi_dedup___::02bbea7aa0840dd31d827dd83aaab136,doi_dedup___::539f569c72f3e82d5f50f4282262c145,256,5.565217391304348,0.11823556161891768,GW / Astrophysics,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2017,2017,0
doi_dedup___::0ea0e3cf6379a5c5f14adbe39d0c14c2,doi_dedup___::3b7920a4b57fa840c851d8d846583c66,157,5.486023978844705,0.19053254437869824,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2017,2019,2
doi_dedup___::30217c0b9e636fbfeef57221107b8a8c,doi_dedup___::b8209110aa2bd25aac1a85236f7c49a5,163,5.445447803965647,0.26547231270358307,Thyroid / Endocrine,True,0302 clinical medicine,Parent–Parent (<2020),2008,2008,0
doi_dedup___::70e11e5f24eda034b1aa14628e89defe,doi_dedup___::ba641b5d5dce345b410878e1d577ac9c,182,5.4046162253401375,0.1398337112622827,Oncology,False,0302 clinical medicine,Parent–Parent (<2020),2009,2010,1
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::781388f411114f6774c35ffd5f84c499,571,5.380093054809469,0.15656428377276435,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2014,2010,4
doi_dedup___::024d68d965d9643bdcb2813764b6b452,doi_dedup___::9f7d56ac7ffe53e7fbbfaf15f386c318,342,5.3385391260156565,0.16154562383612664,Other,False,0103 physical sciences,Recent–Parent,2018,2020,2
doi_dedup___::05d9058d782095cdac54b4f536bfba6f,doi_dedup___::3ce5a4c27576240927a68b63468cc062,364,5.252793231671496,0.18146150073565473,GW / Astrophysics,False,0103 physical sciences,Recent–Recent (≥2020),2021,2021,0
doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,355,5.068843086391079,0.13377926421404682,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2019,2023,4
doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,doi_dedup___::a953d7ea952cd6bdb405103685d1d774,219,4.71212973788569,0.1901893287435456,GW / Astrophysics,False,0103 physical sciences,Recent–Recent (≥2020),2023,2023,0
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,492,4.703022544346516,0.08455256890098672,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2010,2016,6
doi_dedup___::4dc13b4e74c2a38b54c05bdb7c57dd9f,doi_dedup___::c16efc1fc669bf9856a6e43c8c511c38,250,4.631218111278579,0.18301610541727673,Thyroid / Endocrine,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2012,2014,2
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::d4ce4e1a498158492903c91b2579b570,129,4.560838738653231,0.06963042313872522,Diabetes / Cardiovascular,False,0302 clinical medicine,Parent–Parent (<2020),2018,2008,10
doi_dedup___::044bb4b504339988cb982e78a0243913,doi_dedup___::d562f3c8d9222990929272d2d13f1468,312,4.439061067150883,0.19724483406386975,Other,False,0104 chemical sciences,Parent–Parent (<2020),1994,1981,13
doi_dedup___::708f94039c5be7c9f8ca90816dd83674,doi_dedup___::c16efc1fc669bf9856a6e43c8c511c38,212,4.132310230602887,0.17277913610431947,Thyroid / Endocrine,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2013,2014,1
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::b768979d84d319519183b38c17160759,440,4.122424289477237,0.08216395864106352,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2010,2017,7
