graph,min_size,threshold,n_communities,coverage,overlap_rate,n_overlapping,avg_memberships,avg_comm_size,median_comm_size,modularity_overlap,conductance,micro_frac,elapsed_s
G_BC,5,0.35,1043,0.7015086019825356,0.07201366032319532,2910,2.086941580756014,41.77564717162033,12.0,0.2635956370867749,0.26832451324659323,0.0,906.5
G_CitOnly,6,0.35,970,0.5625113475434838,0.05451552514363179,1689,2.077560686796921,33.81649484536082,13.0,0.1808699384292764,0.31072853346395746,0.0,16.6
G_BC,6,0.35,957,0.6693401385344513,0.07337379396202925,2829,2.0802403676210677,43.48171368861024,14.0,0.2356722961786703,0.2778938324897099,0.0,875.0
G_CitOnly,7,0.35,795,0.5265260176476996,0.055344827586206895,1605,2.0710280373831775,38.640251572327045,16.0,0.17762328167847777,0.2910017409661725,0.0,15.1
G_BC,7,0.35,828,0.638734093710397,0.06756720028266246,2486,2.081255028157683,47.682367149758456,16.0,0.22233804364107967,0.27026506164917974,0.0,875.9
G_CitOnly,4,0.4,1459,0.6442681288354697,0.08152740594617444,2893,2.115105426892499,26.532556545579165,9.0,0.2327106600605121,0.31039033228132884,0.10623714873200822,18.6
G_BC,4,0.4,1406,0.7357082096418589,0.09648646735411406,4089,2.13059427732942,33.42958748221906,10.0,0.2741052061951019,0.2965110505797251,0.08677098150782361,873.2
G_CitOnly,5,0.4,1293,0.6009114346926178,0.08043025047587395,2662,2.1111945905334335,27.88476411446249,10.0,0.1898354412394642,0.33339365120009246,0.0,17.4
G_BC,5,0.4,1276,0.702376612329219,0.08888010084282855,3596,2.117630700778643,34.857366771159874,11.0,0.23197056042221154,0.31554012424132216,0.0,870.1
G_CitOnly,6,0.4,1034,0.562293474708595,0.07420083952211817,2298,2.0913838120104438,32.377176015473886,13.0,0.17957334791368593,0.31446603512668686,0.0,16.5
G_BC,6,0.4,1059,0.6685589292224363,0.08875386253278283,3418,2.099473376243417,39.91406987724268,14.0,0.21719086173124458,0.300777752357596,0.0,873.9
G_CitOnly,7,0.4,861,0.5252006245687934,0.07048777958308847,2039,2.087297694948504,36.17189314750291,16.0,0.17005358746417096,0.303327551887449,0.0,15.2
G_BC,7,0.4,895,0.6397930663333506,0.08680197536224019,3199,2.0856517661769303,45.05810055865922,17.0,0.21245504204161697,0.2817892871126326,0.0,873.5
G_CitOnly,4,0.45,1524,0.6440139438614328,0.0855346621183502,3034,2.119644034278181,25.503937007874015,9.0,0.22633319225216283,0.3165871731081657,0.1062992125984252,18.5
G_BC,4,0.45,1516,0.7362637362637363,0.10931126358727689,4636,2.1415012942191542,31.46635883905013,10.0,0.2608253470180093,0.3065411696605608,0.08575197889182058,878.5
G_CitOnly,5,0.45,1353,0.6011474635970805,0.08945937783147086,2962,2.1306549628629305,26.946784922394677,10.0,0.18500098550327523,0.34439838709705134,0.0,15.2
G_BC,5,0.45,1371,0.70190788674201,0.10847843292441631,4386,2.1142270861833103,33.055433989788476,11.0,0.2252984721449146,0.32436211656357666,0.0,876.7
G_CitOnly,6,0.45,1120,0.5606775845165038,0.08785337262394352,2713,2.1135274603759675,30.269642857142856,13.0,0.17060584756384062,0.33231714723045414,0.0,14.2
